"","id","sp","trait"
"4974","982436","spp_1965",0.795350914821029
"4975","628664","spp_1258",0.736446691676974
"4977","683972","spp_1368",0.67438664031215
"4980","265176","spp_531",0.706807534908876
"4983","348245","spp_697",0.709100055042654
"4984","402923","spp_806",0.734338574344292
"4986","645739","spp_1292",0.826275467174128
"4988","378603","spp_758",0.747262474382296
"4991","90741","spp_182",0.832784415688366
"4992","643405","spp_1287",0.788263506954536
"4995","39188","spp_79",0.705737362150103
"4996","990719","spp_1982",0.741787048755214
"5002","552171","spp_1105",0.795480963308364
"5006","372062","spp_745",0.742927369428799
"5007","45708","spp_92",0.800731405615807
"5012","64897","spp_130",0.813243135809898
"5027","150159","spp_301",0.778420033399016
"5028","988113","spp_1977",0.747713043121621
"5031","378565","spp_758",0.747262474382296
"5034","953765","spp_1908",0.783592680003494
"5035","862670","spp_1726",0.698534030001611
"5038","737007","spp_1475",0.783777733333409
"5039","953861","spp_1908",0.783592680003494
"5040","953559","spp_1908",0.783592680003494
"5043","724607","spp_1450",0.780475742183626
"5044","818030","spp_1637",0.844575829105452
"5052","86752","spp_174",0.848974908469245
"5053","635806","spp_1272",0.764427131973207
"5056","371824","spp_744",0.717527435859665
"5059","189753","spp_380",0.766817635856569
"5061","415203","spp_831",0.762752028182149
"5062","943380","spp_1887",0.730963399866596
"5063","585146","spp_1171",0.785838677547872
"5064","321644","spp_644",0.725224808324128
"5067","585030","spp_1171",0.785838677547872
"5068","943073","spp_1887",0.730963399866596
"5069","907755","spp_1816",0.769710869994015
"5071","609","spp_2",0.862332690274343
"5072","551396","spp_1103",0.686629838310182
"5073","565476","spp_1131",0.718292211182415
"5077","748018","spp_1497",0.819069653050974
"5078","801005","spp_1603",0.829693715786561
"5079","552328","spp_1105",0.795480963308364
"5083","551034","spp_1103",0.686629838310182
"5088","365997","spp_732",0.769159319810569
"5093","535304","spp_1071",0.741194637259468
"5096","496254","spp_993",0.756990022957325
"5102","498214","spp_997",0.73870548279956
"5103","328565","spp_658",0.826989931054413
"5106","735453","spp_1471",0.758561538532376
"5107","823535","spp_1648",0.786885912762955
"5108","320914","spp_642",0.81068652565591
"5111","145706","spp_292",0.759491683216766
"5112","128477","spp_257",0.760980155086145
"5113","557250","spp_1115",0.729139554314315
"5114","208940","spp_418",0.767102993326262
"5117","726542","spp_1454",0.766766512300819
"5119","195242","spp_391",0.749501509824768
"5121","736199","spp_1473",0.726187121123075
"5129","186959","spp_374",0.77325704228133
"5137","145872","spp_292",0.759491683216766
"5138","873952","spp_1748",0.676587745081633
"5140","496286","spp_993",0.756990022957325
"5145","990871","spp_1982",0.741787048755214
"5146","880288","spp_1761",0.838466428918764
"5147","484073","spp_969",0.763961679534987
"5150","534876","spp_1070",0.764105290174484
"5156","311407","spp_623",0.761320275720209
"5158","141702","spp_284",0.661141329444945
"5159","555999","spp_1112",0.747713733930141
"5160","389438","spp_779",0.68842684244737
"5161","812034","spp_1625",0.737076610326767
"5162","904868","spp_1810",0.775770016713068
"5168","86677","spp_174",0.848974908469245
"5169","90684","spp_182",0.832784415688366
"5172","372496","spp_745",0.742927369428799
"5180","620949","spp_1242",0.711875150213018
"5181","584936","spp_1170",0.706557488301769
"5182","784165","spp_1569",0.729035672964528
"5186","39313","spp_79",0.705737362150103
"5188","560770","spp_1122",0.833116437774152
"5192","512530","spp_1026",0.679870503256097
"5197","964621","spp_1930",0.799534352729097
"5198","909515","spp_1820",0.726250952575356
"5199","406841","spp_814",0.640407258179039
"5200","484214","spp_969",0.763961679534987
"5211","531839","spp_1064",0.785273986170068
"5212","395504","spp_792",0.812921469798312
"5213","929692","spp_1860",0.754145173588768
"5214","168858","spp_338",0.717699769418687
"5215","372222","spp_745",0.742927369428799
"5216","692768","spp_1386",0.714676417410374
"5218","780698","spp_1562",0.835512293735519
"5219","698307","spp_1397",0.720225559780374
"5222","64621","spp_130",0.813243135809898
"5224","484390","spp_969",0.763961679534987
"5226","878776","spp_1758",0.755227337824181
"5228","86752","spp_174",0.848974908469245
"5231","333557","spp_668",0.687442696886137
"5233","923381","spp_1847",0.756811425322667
"5239","925267","spp_1851",0.761586748529226
"5245","321634","spp_644",0.725224808324128
"5249","389760","spp_780",0.768279578536749
"5252","146384","spp_293",0.819428901886567
"5257","775122","spp_1551",0.752847529482096
"5259","12523","spp_26",0.711786750936881
"5260","145859","spp_292",0.759491683216766
"5261","930107","spp_1861",0.813333400757983
"5264","351644","spp_704",0.710267593385652
"5268","509605","spp_1020",0.755591663531959
"5271","735151","spp_1471",0.758561538532376
"5275","805115","spp_1611",0.83512439741753
"5277","805032","spp_1611",0.83512439741753
"5279","268710","spp_538",0.743342543020844
"5282","129094","spp_259",0.721098031615838
"5283","213209","spp_427",0.850235070800409
"5284","500914","spp_1002",0.756047263508663
"5288","84329","spp_169",0.713842645986006
"5289","993720","spp_1988",0.78246870264411
"5291","45236","spp_91",0.678871701471508
"5293","971423","spp_1943",0.815962721593678
"5300","803109","spp_1607",0.765031371731311
"5304","337047","spp_675",0.806963298236951
"5305","804706","spp_1610",0.705366267357022
"5307","461702","spp_924",0.843426047824323
"5311","784472","spp_1569",0.729035672964528
"5314","907823","spp_1816",0.769710869994015
"5315","45397","spp_91",0.678871701471508
"5317","23033","spp_47",0.848185676150024
"5318","125810","spp_252",0.776742729358375
"5321","722976","spp_1446",0.706123156473041
"5323","824873","spp_1650",0.802286092890427
"5333","415086","spp_831",0.762752028182149
"5334","965563","spp_1932",0.736490911571309
"5336","878732","spp_1758",0.755227337824181
"5337","12886","spp_26",0.711786750936881
"5338","935481","spp_1871",0.760416097939014
"5341","936064","spp_1873",0.786608013790101
"5342","744107","spp_1489",0.752756085013971
"5344","326933","spp_654",0.771925941575319
"5349","601282","spp_1203",0.670331505825743
"5350","878654","spp_1758",0.755227337824181
"5353","401314","spp_803",0.774902485311031
"5354","12650","spp_26",0.711786750936881
"5364","391870","spp_784",0.795140984235331
"5365","217014","spp_435",0.796246072277427
"5368","37197","spp_75",0.741025876952335
"5371","607251","spp_1215",0.830293847480789
"5372","722506","spp_1446",0.706123156473041
